wellid,YEAR,AF Pumped
322039110593901,1994,90.0
322039110593901,1995,98.1
322039110593901,1996,132.5
322039110593901,1997,182.3
322039110593901,1998,158.1
322039110593901,1999,182.2
322039110593901,2000,130.6
322039110593901,2001,201.9
322039110593901,2002,170.7
322039110593901,2003,206.4
322039110593901,2004,166.11
322039110593901,2005,77.87
322039110593901,2006,106.2
322039110593901,2007,42.28
322133111013501,1984,20.83
322133111013501,1985,137.0
322133111013501,1986,153.0
322133111013501,1987,166.0
322133111013501,1988,304.0
322133111013501,1989,363.1
322133111013501,1990,164.2
322133111013501,1991,162.66
322133111013501,1992,121.0
322133111013501,1993,173.0
322133111013501,1994,108.0
322133111013501,1995,135.4
322133111013501,1996,231.6
322133111013501,1997,230.2
322133111013501,1998,218.4
322133111013501,1999,249.8
322133111013501,2000,296.2
322133111013501,2001,417.4
322133111013501,2002,424.7
322133111013501,2003,402.5
322133111013501,2004,303.45
322133111013501,2005,153.22
322133111013501,2006,149.42
322133111013501,2007,223.98
322133111013501,2008,278.84
322133111013501,2009,224.83
322133111013501,2010,347.95
322133111013501,2011,132.91
322133111013501,2012,157.5
322133111013501,2013,103.72
322133111013501,2014,143.20999999999998
322133111013501,2015,259.06
322133111013501,2016,317.32
322133111013501,2018,288.02
322133111013501,2019,309.19
322155111010301,1984,42.98
322155111010301,1985,431.0
322155111010301,1986,62.0
322155111010301,1987,96.0
322155111010301,1988,144.9
322155111010301,1989,59.3
322155111010301,1990,174.3
322155111010301,1991,56.1
322155111010301,1992,171.0
322155111010301,1993,653.0
322155111010301,1994,411.0
322155111010301,1995,212.2
322155111010301,1996,236.9
322155111010301,1997,72.7
322155111010301,1998,63.5
322155111010301,1999,227.5
322155111010301,2000,638.5
322155111010301,2001,415.0
322155111010301,2002,682.1
322155111010301,2003,607.4
322155111010301,2004,468.21
322155111010301,2005,103.615
322155111010301,2006,336.33
322155111010301,2007,223.04
322155111010301,2008,165.7
322155111010301,2009,481.23
322155111010301,2010,352.23
322155111010301,2011,497.13
322155111010301,2012,535.36
322155111010301,2013,354.97
322155111010301,2014,583.43
322155111010301,2015,377.06
322155111010301,2016,402.06
322155111010301,2017,383.15
322155111010301,2018,404.75
322155111010301,2019,525.21
322156111004301,1985,3.0
322156111004301,1986,735.0
322156111004301,1987,1058.0
322156111004301,1988,946.0
322156111004301,1989,704.0
322156111004301,1990,621.7
322156111004301,1991,781.77
322156111004301,1992,613.0
322156111004301,1993,240.0
322156111004301,1994,762.0
322156111004301,1995,483.35
322156111004301,1996,662.0
322156111004301,1997,429.9
322156111004301,1998,676.1
